epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,38529.2,1.24633,0.54742,0.91287,0.86955,0.66501,0.73243,0.40194,1.35426,0.56753,0.97001,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,38931,1.24206,0.54384,0.9091,0.86921,0.66534,0.7324,0.40188,1.35446,0.56751,0.97013,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,39328.1,1.23465,0.53917,0.90973,0.86855,0.66543,0.7322,0.40189,1.35474,0.56764,0.97028,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,39725.1,1.23084,0.53662,0.90751,0.86921,0.66498,0.73189,0.40177,1.35505,0.56756,0.97037,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,40123.3,1.2219,0.53302,0.90732,0.86891,0.665,0.73185,0.40182,1.35538,0.56747,0.97053,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,40525.7,1.21686,0.52995,0.90549,0.87011,0.66447,0.73201,0.40183,1.35557,0.56755,0.97075,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,40922.2,1.21264,0.52637,0.90619,0.87021,0.66421,0.73195,0.40185,1.35583,0.5677,0.9709,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,41327.4,1.20545,0.52373,0.90339,0.86847,0.66523,0.73177,0.40164,1.3561,0.5676,0.97104,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,41724.6,1.20268,0.52256,0.90183,0.86848,0.66531,0.73179,0.40176,1.35625,0.56767,0.97115,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,42124.8,1.20626,0.52207,0.89966,0.86847,0.66508,0.73162,0.40153,1.35655,0.56742,0.97131,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
